Fold,ET_Dice,ET_HD95,TC_Dice,TC_HD95,WT_Dice,WT_HD95
1,0.0,17.70310166644022,0.01894374191761017,14.349212191294221,0.6427881717681885,7.0
2,0.7341577410697937,1.4142135623730951,0.6850478649139404,5.385164807134504,0.6483947038650513,6.4031242374328485
3,0.47019535303115845,12.68857754044952,0.6282379031181335,6.557438524302,0.5946603417396545,8.06225774829855
4,0.5324776768684387,2.23606797749979,0.5222101807594299,3.7416573867739413,0.5987727642059326,5.0990195135927845
5,0.7798255681991577,1.7320508075688772,0.6624048948287964,5.0990195135927845,0.8036611676216125,7.681145747868608
6,0.27897387742996216,12.0,0.3151344358921051,11.213814092116106,0.6986217498779297,9.486832980505138
7,0.3879159390926361,4.123105625617661,0.4181216061115265,4.242640687119285,0.7460693717002869,5.385164807134504
8,0.32773110270500183,2.23606797749979,0.3118952810764313,2.8284271247461903,0.21222606301307678,19.478127913144913
9,0.6843645572662354,1.7320508075688772,0.5824887156486511,4.242640687119285,0.7011090517044067,6.0
10,0.32716676592826843,2.23606797749979,0.32147184014320374,3.4641016151377544,0.5674390196800232,6.6332495807108
11,0.7943295836448669,1.7320508075688772,0.7188059091567993,4.898979485566356,0.7435629963874817,7.874007874011811
12,0.8421727418899536,1.4142135623730951,0.6088420152664185,4.123105625617661,0.7207412719726562,7.0710678118654755
13,0.6289469003677368,2.23606797749979,0.5797926187515259,4.898979485566356,0.7015349864959717,6.082762530298219
14,0.7904136180877686,2.0,0.7810435891151428,5.385164807134504,0.6926053166389465,9.433981132056603
15,0.33340296149253845,2.449489742783178,0.3355805277824402,2.8284271247461903,0.5855007767677307,7.681145747868608
16,0.495626837015152,5.830951894845301,0.2948618531227112,8.12403840463596,0.48091939091682434,5.744562646538029
17,0.5081105828285217,41.98809355043403,0.5979416370391846,39.87104170912448,0.5949004888534546,31.319322742558157
18,0.07297464460134506,8.306623862918075,0.07799766957759857,8.306623862918075,0.6570459604263306,4.898979485566356
19,0.19772614538669586,9.0,0.400760680437088,4.898979485566356,0.5637916326522827,9.848857801796104
20,0.0,0.0,0.3542039394378662,41.129063639797515,0.08126826584339142,45.19955751995809
21,0.11702127754688263,10.910807319280138,0.8877654671669006,5.0990195135927845,0.7431311011314392,5.196152422706632
22,0.09150326997041702,13.251956928999219,0.07404360175132751,20.46948949045872,0.8276413679122925,6.0
23,0.4050196707248688,3.0,0.48256608843803406,7.3484692283495345,0.7760140895843506,8.717797887081348
24,0.5671226978302002,12.59355958007111,0.5198207497596741,8.660254037844387,0.5228002667427063,13.11678051807207
25,0.6506316661834717,20.57904014923755,0.6202935576438904,3.3166247903554,0.6698665022850037,4.58257569495584
26,0.16612021625041962,18.560589009552043,0.22708985209465027,17.72991311758967,0.4241423010826111,6.164414002968976
27,0.5392905473709106,2.449489742783178,0.6142574548721313,4.69041575982343,0.7893813252449036,6.324555320336759
